field_1,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
"2640","26484905",JARAGUÁ DO SUL - SAMAE Ilha da Figueira,CEMADEN,P,-49.04547,-26.48459,,2015/02/11
"2682","25354833",Floresta do Palmito,Simepar,P,-48.5611,-25.593,23,2014/04/15
"2715","25474883",Morretes,Águas Paraná,H,-48.8303,-25.4775,9,2011/12/22
"2804","26904908",BLUMENAU- Itoupava seca,CEMADEN,P,-49.08,-26.897,,2015/02/05
"2852","25604939",Araucária,Águas Paraná,H,-49.39793,-25.60161,869,2016/07/04
"2873","26234941",SÃO BENTO DO SUL - Colonial,CEMADEN,P,-49.41,-26.229,,2015/02/05
"2874","26224850",SÃO FRANCISCO DO SUL - Enseada,CEMADEN,P,-48.50107,-26.22188,,2015/02/20
"2891","26504892",GUARAMIRIM- Bananal do Sul,CEMADEN,P,-48.9244,-26.5011,,2015/02/24
"2909","25424938",Ponte BR 277 Campo Largo,Águas Paraná,H,-49.38794,-25.42697,,2016/06/13
"2916","25484904",Entremar,Águas Paraná,P,-49.04107,-25.48915,,2016/06/23
"2989","25264913",Curitiba,Inmet,M,-49.2306,-25.44869,922.91,2003/01/28
"3005","26544916",Indaial,Inmet,M,-49.26798,-26.9137,72.24,2006/07/02
"3007","26944906",BLUMENAU - Garcia,CEMADEN,P,-49.057,-26.938,,2015/02/06
"3091","25364907",Quatro Barras,Águas Paraná,P,-49.074,-25.36761,,2016/06/14
"3092","26084864",Itapoá,Inmet,M,-48.64177,-26.0813,6.18,2007/06/06
"3108","26664999",SANTA TEREZINHA- Rio da Anta,CEMADEN,P,-49.99276,-26.65671,,2015/03/05
"3119","26445015",Rio do Campo,Inmet,M,-50.14545,-26.93753,591.67,2008/03/11
"3120","26434959",Rio Negrinho,Inmet,M,-49.58062,-26.24841,856.89,2008/03/22
"3166","25424883",Morretes,Inmet,M,-48.80868,-25.50894,50.31,2008/03/13
"3224","25494990",Praça de Porto Amazonas,Caminhos do Paraná,P,-49.90362,-25.49067,935,2013/04/01
"3356","25474946",Lapa,Simepar,M,-49.7598,-25.7817,909.8,1997/06/01
"3431","25494905",Vossoroca,Simepar,H,-49.0833,-25.8166,851,1997/06/01
"3443","26064948",Rio Negro,Simepar,H,-49.80194,-26.1097,0,1997/10/24
"3478","25324831",Guaratuba,Simepar,M,-48.58049,-25.84536,0,1997/06/01
"3487","25444869",APPA Antonina,Simepar,M,-48.69434,-25.44716,2,2014/09/24
"3534","25384886",São João da Graciosa,Simepar,P,-48.86152,-25.3871,0,2014/10/01
"3541","25654927",Fazenda Gralha Azul-PUC,Simepar CampoE,M,-49.27852,-25.65457,911.73,2009/09/03
"3584","25564862",BR 277 - KM 10,ECOVIA,P,-48.6269,-25.5692,403,2012/05/07
"3656","25554869",Floresta,Simepar,P,-48.6947,-25.5563,14,2011/12/13
"3658","25374946",CAMPO MAGRO- Centro,CEMADEN,P,-49.45687,-25.3689,,2016/02/19
"3664","25554873",Sambaqui,Simepar,P,-48.73833,-25.55444,37,2013/12/05
"3671","25254905",Pinhais,Simepar,M,-49.1299,-25.3907,930,1998/07/10
"3685","25534852",Paranaguá,Simepar,M,-48.5296,-25.5378,19,2012/11/21
"3726","25814881",Cubatão - Copel,Simepar,H,-48.80729,-25.81799,36,2015/04/28
"3738","25504887",Rio Marumbi Morretes,Simepar,H,-48.87361,-25.50639,44,2013/12/23
"3743","25484918",Comp.  C. Água Limpa,Águas Paraná,H,-49.18133,-25.48581,906,2013/09/08
"3744","25594926",Ponte Do Umbarazinho,Águas Paraná,H,-49.26004,-25.59859,906,2013/09/08
"3754","25444625",Curitiba,Epagri/Ciram,P,-49.25667,-25.44028,921,2009/07/08
"3775","26884958",JOSÉ BOITEUX - Alto Rio Lieizs,CEMADEN,P,-49.581,-26.879,,2014/07/25
"3780","26724890",LUIZ ALVES - Vila do Salto2,CEMADEN,P,-48.901,-26.717,,2014/07/25
"3789","25324916",Embrapa,Águas Paraná,H,-49.16233,-25.3225,,2016/02/25
"3790","25584916",Mandirituba Copel,Águas Paraná,P,-49.32475,-25.77708,,2016/01/25
"3792","25454904",São Cristovão,Águas Paraná,P,-49.0496,-25.45196,,2016/02/18
"3793","25444947",Bom Jesus da Aldeia,Águas Paraná,P,-49.47309,-25.44211,,2016/01/26
"3794","25474924",Arauco / PUC,Águas Paraná,H,-49.24675,-25.47068,,2013/09/08
"3795","25444919",Autódromo,Águas Paraná,H,-49.19791,-25.44682,,2015/09/18
"3810","25684954",Contenda Copel,Águas Paraná,P,-49.54176,-25.681,,2016/01/25
"3814","25454917",Pinhais,Águas Paraná,H,-49.17154,-25.454,,2015/10/06
"3816","26884929",INDAIAL - ,CEMADEN,P,-49.2852,-26.8808,,2015/02/09
"3820","25544907",Chacara Guajubi,Águas Paraná,P,-49.07237,-25.54619,906,2016/01/25
"3942","25524875",PR 408 - Ponte Sagrado,ECOVIA,H,-48.75134,-25.52629,8.48,2014/10/09
"3953","25494933",Tecpar,Epagri/Ciram,P,-49.3389,-25.4947,882,2011/02/27
"3973","25524851",PARANAGUÁ - Ponta do Caju,CEMADEN,P,-48.509,-25.523,,2015/02/05
"3975","27224965",RIO DO SUL - Centro,CEMADEN,P,-49.647,-27.218,,2014/07/25
"3976","26874938",RODEIO - Ipiranga,CEMADEN,P,-49.385,-26.872,,2014/07/25
"3978","26774908",BLUMENAU- Itoupava Central,CEMADEN,P,-49.08,-26.767,,2014/07/25
"4130","20619",Salto do Meio,Orbcopel,H,-48.9833,-25.8,,2008/05/19
"4147","25324933",Formigas,Suderhsa,H,-49.5445,-25.5376,897,2009/02/16
"4157","25274912",Autódromo,Suderhsa,Q,-49.198,-25.4466,,2002/07/04
"4158","25274910",Pinhais,Suderhsa,Q,-49.1716,-25.4537,,2002/07/04
"4159","25374921",Ponte da Caximba,Suderhsa,Q,-49.357,-25.6136,,2002/07/04
"4160","25324924",Olaria Pioli,Suderhsa,H,-49.3936,-25.5327,897,2008/01/01
"4178","25414932",Contenda,Suderhsa,P,-49.5411,-25.6794,,2008/01/01
"4182","2694913",Salto Jusante,Epagri/Ciram,H,-49.13333,-26.9,12,2008/01/01
"4183","25474919",Mandirituba,Suderhsa,P,-49.3246,-25.7668,,2008/01/01
"4186","25294902",Entremar,Suderhsa,P,-49.0409,-25.4889,,2008/01/01
"4192","25224904",Quatro Barras,Suderhsa,P,-49.0739,-25.3667,,2008/01/01
"4194","26904907",PL - Blumenau FURB,Epagri/Ciram,H,-49.0775,-26.905,30,2008/01/01
"4195","25254923",BR_277 Campo Largo,Suderhsa,P,-49.3868,-25.4086,,2008/01/01
"4196","25264928",Bom Jesus da Aldeia,Suderhsa,P,-49.473,-25.4415,,2008/01/01
"4198","25284934",Santa Cecília,Suderhsa,P,-49.5702,-25.462,,2008/01/01
"4199","26284910",Barragem Rio do Júlio,Epagri/Ciram,H,-49.10306,-26.28111,645,2008/01/01
"4201","26294906",Barragem 8 Salto,Epagri/Ciram,H,-49.06139,-26.29472,695,2008/01/01
"4203","25294911",Ponte BR_277,Suderhsa,Q,-49.1898,-25.4828,,2008/01/02
"4204","25274907",Olaria do Estado,Suderhsa,Q,-49.1198,-25.4429,,2008/01/02
"4207","26194870",São Francisco do Sul - Casan - Vega,Epagri/Ciram,H,-48.70583,-26.19944,35,2008/01/23
"4259","25274915",Prado Velho,Suderhsa,Q,-49.249,-25.4499,,2002/09/25
"4263","25274903",São Cristóvão,Suderhsa,P,-49.0495,-25.4514,,2008/01/01
"4264","27054951",Ibirama,Epagri/Ciram,H,-49.51667,-27.05389,80,2008/01/01
"4267","26625023",PL - Monte Castelo,Epagri/Ciram,H,-50.23917,-26.62583,800,2008/01/01
"4268","25314913",ETE-SANEPAR,Suderhsa,Q,-49.2124,-25.5172,,2008/01/01
"4473","25614935",Ponte Da Caximba,Águas Paraná,H,-49.35667,-25.61028,,2014/02/04
"4494","25604951",Guajuvira,Águas Paraná,H,-49.5134,-25.60021,897,2013/07/10
"4495","25534954",Formigas,Águas Paraná,H,-49.54439,-25.53778,897,2014/02/20
"4496","25594922",Cachoeira,Águas Paraná,H,-49.22866,-25.59018,906,2013/08/29
"4497","25344925",ALMIRANTE TAMANDARÉ- Jardim Graziela,CEMADEN,P,-49.246,-25.343,,2014/07/25
"4501","25444920",PINHAIS - Estância Pinhais,CEMADEN,P,-49.199,-25.438,,2014/07/25
"4560","26024862",ITAPOÁ - Itapoá,CEMADEN,H,-48.6291,-26.0272,,2014/10/20
"4561","26844962",JOSÉ BOITEUX - Rio Wiegand,CEMADEN,P,-49.62,-26.841,,2014/07/25
"4562","26084865",Itapoá,Epagri/Ciram,M,-48.64167,-26.08111,2,2014/01/01
"4564","26914926",Indaial,Epagri/Ciram,M,-49.26667,-26.91667,8613,2014/01/01
"4580","26234853",São Francisco do Sul,Epagri/Ciram,M,-48.53194,-26.23278,12,2016/04/03
"4584","26904903",BLUMENAU - Vorstadt,CEMADEN,P,-49.034,-26.905,,2014/08/06
"4586","26935014",Rio do Campo,Epagri/Ciram,M,-50.14556,-26.93722,570,2014/01/01
"4687","25664910",Malhada,Águas Paraná,P,-49.10322,-25.66264,906,2016/06/15
"4692","25674917",Campo Largo da Roseira,Águas Paraná,P,-49.17972,-25.67494,906,2016/06/15
"4705","25324915",Colombo,Inmet,M,-49.15773,-25.32246,950,2016/05/28
"4712","25674918",SÃO JOSÉ DOS PINHAIS - Campo Largo da Roseira,CEMADEN,P,-49.182,-25.674,906,2014/07/25
"4723","25384930",CURITIBA - Pilarzinho,CEMADEN,P,-49.295,-25.38,,2014/12/12
"4724","25814880",Cubatão,Águas Paraná,H,-48.8074,-25.81792,,2013/09/08
"4725","25334927",ALMIRANTE TAMANDARÉ - Jardim Roma,CEMADEN,P,-49.273,-25.327,,2014/07/25
"4726","25674931",FAZENDA RIO GRANDE - Gralha Azul,CEMADEN,P,-49.30737,-25.67292,,2016/02/21
"4737","25594939",ARAUCÁRIA - Centro,CEMADEN,P,-49.388,-25.595,897,2015/02/23
"4740","25374931",ALMIRANTE TAMANDARÉ - Jardim Tanguá,CEMADEN,P,-49.308,-25.371,,2014/07/25
"4743","25344928",ALMIRANTE TAMANDARÉ - Jardim Bonfim,CEMADEN,P,-49.28,-25.344,,2014/07/25
"4750","25464869",ANTONINA - Rua Professora Otilia Ferrarine,CEMADEN,P,-48.687,-25.462,,2015/02/05
"4751","25444871",ANTONINA - Jardim Maria Luiza,CEMADEN,P,-48.711,-25.436,,2014/07/25
"4752","25434873",ANTONINA - Batel,CEMADEN,P,-48.725,-25.433,,2014/07/25
"4753","25434871",ANTONINA - Centro,CEMADEN,P,-48.71,-25.429,,2014/07/25
"4759","26424875",ARAQUARI - Porto Grande,CEMADEN,P,-48.75515,-26.41607,,2015/02/19
"4760","26524871",ARAQUARI - Rainha,CEMADEN,P,-48.71378,-26.51683,,2015/02/19
"4761","26374872",ARAQUARI - Centro,CEMADEN,P,-48.72337,-26.37228,,2015/02/19
"4762","26404880",ARAQUARI - Itinga,CEMADEN,P,-48.79885,-26.39942,,2015/02/23
"4794","26904905",BLUMENAU - Ponta Aguda,CEMADEN,P,-49.048,-26.902,,2014/07/25
"4795","26864915",BLUMENAU - Testo Salto,CEMADEN,P,-49.154,-26.857,,2014/07/25
"4796","26884907",BLUMENAU - Fortaleza,CEMADEN,P,-49.066,-26.877,,2014/07/25
"4797","26914903",BLUMENAU - Vorstadt,CEMADEN,P,-49.034,-26.905,,2015/02/05
"4798","26894905",BLUMENAU - Nova Esperança,CEMADEN,P,-49.055,-26.891,,2015/02/05
"4799","26854905",BLUMENAU - Fortaleza Alta,CEMADEN,P,-49.047,-26.852,,2014/07/25
"4800","26874909",BLUMENAU - Itoupava Norte,CEMADEN,P,-49.086,-26.872,,2014/07/25
"4802","26944915",BLUMENAU - Velha Central,CEMADEN,P,-49.15,-26.937,,2014/07/25
"4803","26904910",BLUMENAU - Escola Agricola,CEMADEN,P,-49.103,-26.904,,2014/07/25
"4804","26884914",BLUMENAU - Badenfurt,CEMADEN,P,-49.14,-26.883,,2014/07/25
"4805","26954913",BLUMENAU - Velha Grande,CEMADEN,P,-49.133,-26.951,,2014/07/25
"4806","26914907",BLUMENAU - Centro,CEMADEN,P,-49.069,-26.913,,2014/07/25
"4850","25334908",CAMPINA GRANDE DO SUL - Jardim Diamante,CEMADEN,P,-49.079,-25.334,,2015/02/05
"4851","25364911",CAMPINA GRANDE DO SUL - Jardim Graciosa,CEMADEN,P,-49.109,-25.356,,2014/07/25
"4854","25984968",CAMPO DO TENENTE - Centro,CEMADEN,P,-49.684,-25.9797,,2015/02/05
"4856","25474953",CAMPO LARGO - Vila Bancaria,CEMADEN,P,-49.52551,-25.46856,,2016/02/19
"4857","25444946",CAMPO LARGO - Ferraria,CEMADEN,P,-49.45527,-25.43937,,2016/02/19
"4858","25464952",CAMPO LARGO - Rio Cambui,CEMADEN,H,-49.5204,-25.4556,,2017/01/01
"4859","25454956",CAMPO LARGO - Vila Andreas,CEMADEN,P,-49.55519,-25.44889,,2016/02/19
"4894","25364919",COLOMBO - Alto da Cruz,CEMADEN,P,-49.1892,-25.3612,,2015/02/23
"4904","26414923",CORUPÁ - Rua Ano Bom,CEMADEN,P,-49.235,-26.411,,2015/02/06
"4905","26434926",CORUPÁ - Horto Florestal,CEMADEN,P,-49.259,-26.43,,2014/07/25
"4906","26444923",CORUPÁ - João Tozini,CEMADEN,P,-49.22865,-26.43862,,2015/02/11
"4917","25424934",CURITIBA - São Braz,CEMADEN,P,-49.342,-25.417,,2014/12/12
"4918","25354926",CURITIBA - Cachoeira,CEMADEN,P,-49.25527,-25.3536,,2015/03/10
"4919","25444935",CURITIBA - Santa Felicidade,CEMADEN,P,-49.35,-25.435,,2015/02/05
"4920","25414936",CURITIBA - Butiatuvinha,CEMADEN,P,-49.36184,-25.41118,,2015/03/10
"4921","25414930",CURITIBA - Vista Alegre,CEMADEN,P,-49.301,-25.413,,2014/12/12
"4922","25384933",CURITIBA - Santa Felicidade,CEMADEN,P,-49.332,-25.382,,2014/12/14
"4923","25384924",CURITIBA - Boa Vista,CEMADEN,P,-49.245,-25.379,,2014/12/14
"4924","25384920",CURITIBA - Atuba,CEMADEN,P,-49.197,-25.384,,2015/02/05
"4925","25564928",CURITIBA - Umbará,CEMADEN,P,-49.284,-25.555,,2015/02/05
"4940","25654931",FAZENDA RIO GRANDE - Naçཞs,CEMADEN,P,-49.30742,-25.64902,,2016/02/21
"4961","26114900",GARUVA - Estrada Geral Quiriri,CEMADEN,P,-49.00358,-26.11388,,2015/02/23
"4962","26034885",GARUVA - Centro,CEMADEN,P,-48.8502,-26.0324,,2015/02/23
"4963","26894901",GASPAR - Belchior Baixo,CEMADEN,P,-49.009,-26.892,,2014/07/25
"4965","26804901",GASPAR - SAMAE ETA-V,CEMADEN,P,-49.01268,-26.80265,,2015/03/11
"4978","26484902",GUARAMIRIM - Nova Esperança,CEMADEN,P,-49.0159,-26.475,,2015/02/11
"4979","26474896",GUARAMIRIM - Bananal,CEMADEN,P,-48.95957,-26.47323,,2015/02/24
"4980","26544902",GUARAMIRIM - Jacu-açu,CEMADEN,P,-49.0169,-26.5405,,2015/02/11
"4981","26464892",GUARAMIRIM - Corticeras,CEMADEN,P,-48.91975,-26.46237,,2015/02/24
"5005","26524913",JARAGUÁ DO SUL - Barra do Rio Cerro,CEMADEN,P,-49.12951,-26.51601,,2015/02/10
"5006","26454917",JARAGUÁ DO SUL - Bombeiro de Nereu Ramos,CEMADEN,P,-49.1663,-26.4548,,2015/07/09
"5010","26334888",JOINVILLE - Estação de Cidadania Abilio Bello,CEMADEN,P,-48.875,-26.3309,,2015/02/23
"5011","27204980",RIO DO OESTE - Centro,CEMADEN,P,-49.79585,-27.19567,,2015/02/11
"5012","27184964",RIO DO SUL - Itoupava,CEMADEN,P,-49.64,-27.177,,2014/07/25
"5013","27224966",RIO DO SUL - Canoas,CEMADEN,P,-49.659,-27.221,,2014/07/25
"5014","27224963",RIO DO SUL - Santana,CEMADEN,P,-49.627,-27.223,,2014/07/25
"5015","26264951",RIO NEGRINHO - Alegre,CEMADEN,P,-49.509,-26.261,,2014/07/25
"5016","26234950",RIO NEGRINHO - Industrial Norte,CEMADEN,P,-49.496,-26.229,,2014/07/25
"5017","26094978",RIO NEGRO - Bom Jesus,CEMADEN,P,-49.781,-26.085,,2015/02/05
"5018","26924937",RODEIO - Centro,CEMADEN,P,-49.369,-26.924,,2014/07/25
"5019","26954935",RODEIO - BR 470,CEMADEN,P,-49.353,-26.952,,2014/07/25
"5020","26854933",RODEIO - Rodeio 12,CEMADEN,P,-49.326,-26.846,,2014/07/25
"5021","26975000",SALETE - CEI Primeiros Passos,CEMADEN,P,-50.00102,-26.97143,,2015/03/04
"5027","26254880",JOINVILLE - Aventureiro,CEMADEN,P,-48.797,-26.249,,2014/07/25
"5028","26384882",JOINVILLE - Itinga,CEMADEN,P,-48.82,-26.383,,2014/07/25
"5029","26274883",JOINVILLE - Iririu,CEMADEN,P,-48.828,-26.273,,2014/07/25
"5030","26354878",JOINVILLE - Paranaguamirim,CEMADEN,P,-48.781,-26.347,,2014/07/25
"5031","26304884",JOINVILLE - Centro,CEMADEN,P,-48.841,-26.301,,2014/07/25
"5041","26774896",LUIZ ALVES - Braço do Francês,CEMADEN,P,-48.963,-26.767,,2014/07/25
"5042","26674884",LUIZ ALVES - Alto Canoas,CEMADEN,P,-48.845,-26.67,,2014/07/25
"5043","26704890",LUIZ ALVES - Vila do Salto,CEMADEN,P,-48.904,-26.695,,2014/07/25
"5044","26774899",LUIZ ALVES - Braço Serafim,CEMADEN,P,-48.987,-26.766,,2014/07/25
"5045","26114981",MAFRA - Centro,CEMADEN,P,-49.806,-26.114,,2014/07/25
"5046","26134980",MAFRA - Rio da Lanca,CEMADEN,H,-49.7958,-26.127,,2015/03/03
"5528","26964962",JOSÉ BOITEUX - Centro,CEMADEN,P,-49.62662,-26.96298,,2017/09/24
"34","98888886",Laboratório Met300,Testes Laboratório,M,-49.16,-25.26,,2010/02/08
"102","25084853",Capivari,Orbcopel,H,-48.8666,-25.1333,,
"158","20617",Capivari,Orbcopel,H,-48.8666,-25.1333,,
"232","25224935",ITAPERUÇU - Centro,CEMADEN,P,-49.351,-25.219,,2014/07/25
"250","25134856",Capivari Montante,Simepar,H,-48.9395,-25.2208,819,2000/03/21
"265","25174931",RIO BRANCO DO SUL - Rio Branco do Sul l,CEMADEN,P,-49.309,-25.167,,2014/07/25
"266","25204932",RIO BRANCO DO SUL - Centro II,CEMADEN,P,-49.324,-25.205,,2014/07/25
"405","25054850",Capivari Jusante,Simepar,H,-48.8276,-25.0881,686,2000/03/16
"484","25015003",Alagados,Simepar,H,-50.057,-25.0223,958,2000/03/27
"530","24824926",Cerro Azul,Epagri/Ciram,P,-49.25,-24.8166,,2010/08/25
"560","25025010",Reservatório Pitangui,Simepar,H,-50.1017,-25.0278,866,2010/05/06
"577","25004862",PCH Novo Horizonte Barramento,PCH Novo Horizonte,H,-48.62167,-25,,2012/09/12
"598","25125008",Ponta Grossa,Iapar,M,-50.07671,-25.1196,899,2015/08/01
"629","25214934",ITAPERUÇU- Jardim Itau,CEMADEN,P,-49.335,-25.213,,2014/07/25
"779","24844927",Cerro Azul Montante,Águas Paraná,H,-49.27336,-24.84357,,2013/09/08
"780","24904944",Foz São Sebastião,Águas Paraná,H,-49.44163,-24.90348,,2013/09/08
"929","25194931",RIO BRANCO DO SUL - Centro,CEMADEN,P,-49.313,-25.193,,2014/07/25
"1946","25004863",PCH Novo Horizonte Montante,PCH Novo Horizonte,H,-48.63881,-25.00428,529,2013/09/03
"2200","25314929",ALMIRANTE TAMANDARÉ - Centro,CEMADEN,P,-49.298,-25.31,,2015/02/05
"3222","25134848",Antonina,Simepar,M,-48.75248,-25.24341,60,1999/01/01
"3435","25084852",Capivari,Simepar,H,-48.8666,-25.1333,758,1997/06/01
"3542","25135001",Ponta Grossa,Simepar,M,-50.1524,-25.0137,888.25,1997/06/01
"3717","24494915",Cerro Azul,Simepar,M,-49.2604,-24.8267,366,1997/06/01
"3746","25244852",Guaraqueçaba,Iapar,M,-48.52261,-25.23815,33,2015/08/01
"3755","25244874",Pinguela,Águas Paraná,H,-48.74825,-25.24316,,2016/02/17
"3813","25284923",Colombo Copel,Águas Paraná,P,-49.23149,-25.28776,,2016/01/25
"3924","25274841",ANTONINA - ANTONINA,CEMADEN,P,-48.4114,-25.2743,,2014/08/13
"3950","25035010",Jusante Pitangui (Resol. 3 - SJR),Simepar,H,-50.10435,-25.03589,842,2016/04/29
"3969","25184889",Recanto do Maneco,Simepar,H,-48.8981,-25.1825,808,2012/05/10
"4208","25174914",Colombo,Suderhsa,P,-49.2308,-25.2873,,2008/02/19
"4454","25204851",Passo do Vau,Águas Paraná,H,-48.51051,-25.20036,,
"4455","24794927",Balsa Do Cerro Azul,Águas Paraná,H,-49.2757,-24.79656,,2013/09/08
"4465","25234959",Ponte Do Açungui,Águas Paraná,H,-49.59633,-25.23556,,2014/02/04
"4739","25324927",ALMIRANTE TAMANDARÉ - Jardim Rosana,CEMADEN,P,-49.267,-25.316,,2015/02/05
"4741","25264930",ALMIRANTE TAMANDARÉ - Tranqueira,CEMADEN,P,-49.301,-25.259,,2014/07/25
"4742","25314930",ALMIRANTE TAMANDARÉ - Centro,CEMADEN,P,-49.298,-25.31,,2014/07/25
"4744","25314931",ALMIRANTE TAMANDARÉ - Jardim Planalto,CEMADEN,P,-49.308,-25.312,,2014/07/25
"4849","25314905",CAMPINA GRANDE DO SUL - Jardim da Colina,CEMADEN,P,-49.053,-25.311,,2014/07/25
"4888","24824927",CERRO AZUL - CerroAzul01,CEMADEN,P,-49.26312,-24.82449,,2016/02/19
"387","27225112",Tangará - Trento,Epagri/Ciram,M,-51.12,-27.22,,2015/04/08
"469","27285056",Curitibanos,Epagri/Ciram,M,-50.56667,-27.28333,1040,2011/01/01
"517","27285060",Curitibanos,Epagri/Ciram,M,-50.60833,-27.28333,1040,2014/01/01
"1332","27105125",TANGARÁ- Centro,CEMADEN,P,-51.24585,-27.10531,,2015/03/03
"3074","27105133",Joaçaba,Inmet,M,-51.55896,-27.16927,767.63,2007/09/20
"3118","27285061",Curitibanos,Inmet,M,-50.60428,-27.28862,978.1,2008/02/29
"4226","27175155",Joaçaba,Epagri/Ciram,M,-51.55806,-27.17,776,2008/08/01
"4265","27335075",Passo Marombas,Epagri/Ciram,H,-50.75083,-27.33083,829,2008/01/01
"4581","27165155",Joaçaba- INMET,Epagri/Ciram,M,-51.55,-27.16667,776,2014/01/01
"4926","27305057",CURITIBANOS - Cotia B1,CEMADEN,P,-50.56729,-27.30408,,2015/02/23
"5007","27185151",JOAÇABA - N. S. de Lourdes,CEMADEN,P,-51.5136,-27.1811,,2015/03/02
"5196","27175149",HERVAL D'OESTE - HERVAL D OESTE,CEMADEN,P,-51.4978,-27.17222,,2017/09/03
"5537","27275143",ERVAL VELHO - São Sebastião,CEMADEN,P,-51.4394,-27.2771,,2017/09/03
"2118","27055208",LINDÓIA DO SUL- Prefeitura Municipal,CEMADEN,P,-52.08314,-27.05239,,2015/02/26
"43","26015237",PCH Arturo Andreoli Porto Palmeirinha,PCH Arturo Andreoli,H,-52.6283,-26.0291,0,2002/08/30
"239","25695262",SAUDADE DO IGUAÇU- Prefeitura Municipal,CEMADEN,P,-52.6174,-25.6916,,2015/02/19
"247","27085213",IPUMIRIM- Prefeitura Municipal,CEMADEN,P,-52.13426,-27.0757,,2015/02/26
"486","26575249",PCH Ludesa Barramento,Ludesa,H,-52.4914,-26.5778,0,2012/02/09
"626","26425235",Clevelândia,Iapar,M,-52.34859,-26.41723,966,2015/08/01
"742","26585247",PCH Ludesa Jusante,Ludesa,H,-52.4744,-26.5867,0,2012/02/15
"807","27085228",SEARA- São Rafael,CEMADEN,P,-52.28532,-27.08402,,2015/02/27
"949","26575233",ABELARDO LUZ - Centro,CEMADEN,P,-52.326,-26.565,,2015/02/05
"1513","25525251",PCH Arturo Andreoli Rio Santana,PCH Arturo Andreoli,H,-52.5146,-25.5256,438,2015/09/01
"2353","26955253",XAXIM- Defesa Civil,CEMADEN,P,-52.52973,-26.95455,,2015/02/27
"2507","26565232",ABELARDO LUZ - ,CEMADEN,P,-52.3265,-26.5656,,2014/12/19
"3116","26445242",Xanxerê,Inmet,M,-52.39809,-26.93867,878.74,2008/03/15
"3163","26565253",SÃO DOMINGOS - Centro,CEMADEN,P,-52.53216,-26.55964,,2015/03/01
"3433","25485254",Bela Vista Jusante,Simepar,H,-52.5422,-25.482,430,2015/09/01
"3439","26445235",Clevelândia,Inmet,M,-52.34874,-26.4172,966.06,2008/05/15
"4902","25985256",CORONEL VIVIDA - Prefeitura Municipal,CEMADEN,P,-52.5634,-25.9801,,2015/02/19
"5058","26845241",XANXERÊ - Linha Barro Preto,CEMADEN,P,-52.4117,-26.8394,,2015/02/23
"39","24555296",Ubiratã,Simepar,M,-52.96648,-24.5545,529,2017/08/16
"80","25345331",N.Prata do Iguaçu,Simepar,M,-53.5166,-25.5666,546.3,1997/06/01
"161","25315254",NOVA LARANJEIRAS - Centro,CEMADEN,P,-52.53703,-25.30928,,2015/02/25
"182","25495361",CAPITÃO LEÔNIDAS MARQUES- Rua Tarobé,CEMADEN,P,-53.612,-25.494,,2014/07/25
"193","25425241",Laranjeiras do Sul,Simepar,M,-52.41211,-25.42767,838,2017/07/18
"245","25345306",PCH Arturo Andreoli Barramento,PCH Arturo Andreoli,H,-53.11301,-25.57138,351,2002/08/28
"410","25505367",Baixo Iguaçu,Simepar,M,-53.67738,-25.50895,274,2017/07/13
"509","25345816",Balsa Jaracatiá,Simepar,H,-53.2668,-25.5832,273,2006/05/26
"534","25325330",Salto Caxias,Simepar,H,-53.5,-25.5333,420,1997/06/01
"558","25095359",Santa Tereza d´Oeste,Iapar,M,-53.58962,-25.0876,752,2015/08/01
"591","24685257",Nova Cantu,Iapar,M,-52.56918,-24.67761,548,2015/08/01
"744","25235306",Porto Santo Antônio,Simepar,H,-53.1,-25.3833,386,1997/06/01
"746","25315021",Boa Vista da Aparecida,Simepar,H,-53.3558,-25.5225,367,2010/09/02
"957","25315301",Salto Osorio,Simepar,M,-53.03087,-25.52213,514,1999/07/22
"1512","25405259",PCH Arturo Andreoli Flor da Serra,PCH Arturo Andreoli,H,-52.5901,-25.4055,382,2015/09/01
"2070","25275357",LINDOESTE- Paço Municipal,CEMADEN,P,-53.5725,-25.2686,,2015/02/27
"3076","25415305",Dois Vizinhos,Inmet,M,-53.09527,-25.69906,545.95,2007/03/29
"3228","25325329",Reservatório Salto Caxias,Simepar,H,-53.4833,-25.5333,440,2009/03/13
"3342","24475343",Toledo,Simepar,M,-53.7196,-24.7834,516.4,1997/07/23
"3538","24535333",Cascavel,Simepar,M,-53.5547,-24.8845,719.3,1997/06/01
"3577","25465256",Águas do Verê,Simepar,H,-52.9329,-25.7737,466,1997/06/01
"3654","24565337",Palmitópolis / Aurora,SimeparTorres,M,-53.37462,-24.56814,,2016/02/10
"3668","24845356",Toledo/Pinheiros,SimeparTorres,M,-53.56483,-24.84796,,2016/02/10
"3669","25145354",Cascavel Parque Industrial,SimeparTorres,M,-53.54666,-24.99914,,2015/12/08
"3708","25315329",Salto Caxias,Simepar,M,-53.49412,-25.52092,440,1998/10/24
"3715","24535213",Palmital,Simepar,M,-52.2186,-24.8644,783,1997/06/01
"4456","25925285",Balsa Do Santana,Águas Paraná,H,-52.85222,-25.92056,,2014/02/03
"4457","24945259",Porto Carriel,Águas Paraná,H,-52.59778,-24.94722,,2014/02/04
"4458","24755287",Foz Do Cantu,Águas Paraná,H,-52.87667,-24.75194,,2014/02/04
