estcodigo,estaltitude,estiniciooperacao,estlatitude,estlongitude,estnome,esttipo,field_1,orgsigla
25485361,,2014/07/25,-25.481,-53.606,CAPITÃO LEÔNIDAS MARQUES - Rua Catanduvas,P,4876.0,CEMADEN
25005346,,2015/02/23,-24.99532,-53.46367,CASCAVEL - Centro,P,4882.0,CEMADEN
25105287,,2014/07/25,-25.1,-52.866,GUARANIAÇU - Centro,P,4982.0,CEMADEN
26275268,,2014/07/25,-26.267,-52.683,PATO BRANCO - Alvorada,P,226.0,CEMADEN
26235267,,2014/07/25,-26.228,-52.673,PATO BRANCO - Centro,P,230.0,CEMADEN
26735272,,2015/02/28,-26.72645,-52.71834,QUILOMBO - Centro,P,321.0,CEMADEN
26125265,716.0,2015/08/01,-26.12338,-52.65192,Pato Branco,M,554.0,Iapar
26085306,628.0,2015/08/01,-26.08391,-53.06419,Francisco Beltrão,M,555.0,Iapar
25725375,400.0,2015/08/01,-25.72189,-53.74788,Planalto,M,581.0,Iapar
25345435,234.0,1997/06/01,-25.6154,-53.7923,Porto Capanema,H,689.0,Simepar
26085307,,2013/07/15,-26.08142,-53.07481,Eta Francisco Beltrão,H,778.0,Águas Paraná
26235271,,2014/07/25,-26.234,-52.713,PATO BRANCO - São João,P,909.0,CEMADEN
26745353,,2015/02/22,-26.73799,-53.52583,SÃO MIGUEL DO OESTE - São Luiz,P,1276.0,CEMADEN
26155302,625.0,2013/07/15,-26.15827,-53.02388,Eta Marmeleiro,H,1477.0,Águas Paraná
26685275,,2015/03/07,-26.68023,-52.74678,QUILOMBO - Interior,P,2123.0,CEMADEN
26075306,,2016/09/21,-26.07353,-53.06369,Bombeiros Francisco Beltrão,H,2453.0,Águas Paraná
26445383,654.51,2008/03/12,-26.7767,-53.50454,São Miguel do Oeste,M,2575.0,Inmet
26285363,807.54,2008/06/02,-26.28656,-53.63311,Dionísio Cerqueira,M,3083.0,Inmet
26075241,721.8,1997/06/01,-26.1229,-52.6514,Pato Branco,M,3360.0,Simepar
26055305,652.0,2010/09/02,-26.0593,-53.06548,Francisco Beltrão,M,3477.0,Simepar
26405309,,2015/02/24,-26.3985,-53.0854,CAMPO ERÊ - Prefeitura Municipal,P,4855.0,CEMADEN
26265364,,2015/02/28,-26.26219,-53.63747,DIONÍSIO CERQUEIRA - Prefeitura Municipal,P,4927.0,CEMADEN
26075307,,2015/02/24,-26.06924,-53.07376,FRANCISCO BELTRÃO - São Miguel,P,4952.0,CEMADEN
26445269,,2015/03/02,-26.43919,-52.68857,GALVÃO - Escola Linha Santin,P,4957.0,CEMADEN
26455269,,2015/02/28,-26.45139,-52.68987,GALVÃO - Esperança,P,4958.0,CEMADEN
26765317,,2015/02/23,-26.76057,-53.17418,MARAVILHA - Centro Adm. Municipal,P,5050.0,CEMADEN
26455351,,2015/02/20,-26.45164,-53.50752,SÃO JOSÉ DO CEDRO - São Cristovão,P,5060.0,CEMADEN
24385115,645.0,1997/06/01,-24.6321,-51.2452,Cândido de Abreu,M,3530.0,Simepar
24775376,,2015/10/28,-24.77915,-53.76094,PCH São Francisco Montante 2,H,86.0,PCH São Francisco
24715394,,2011/02/09,-24.71884,-53.94421,PCH São Francisco Jusante,H,722.0,PCH São Francisco
24735389,,2011/02/05,-24.73323,-53.89309,PCH São Francisco Barramento,H,4500.0,PCH São Francisco
25355424,,2014/07/25,-25.349,-54.245,SÃO MIGUEL DO IGUAÇU- Centro,P,237.0,CEMADEN
25375427,,2014/08/12,-25.37306,-54.27,SÃO MIGUEL DO IGUAÇU- Rua Noé N. de Medeiros,P,238.0,CEMADEN
25435458,168.0,2017/05/09,-25.4361,-54.58286,Foz do Iguaçu - Itaipu,M,1003.0,Simepar
25345422,,2014/08/11,-25.344,-54.222,SÃO MIGUEL DO IGUAÇU - Barro Branco,P,1178.0,CEMADEN
24235332,450.0,1999/08/19,-24.3886,-53.5411,Assis Chateaubriand,M,2306.0,Simepar
25115408,298.0,1997/06/01,-25.3528,-54.2546,São Miguel do Iguaçu,M,3552.0,Simepar
24505420,271.0,1997/07/21,-24.9168,-54.3103,Santa Helena,M,4057.0,Simepar
25535454,,2017/10/04,-25.53406,-54.54101,FOZ DO IGUAÇU - São Miguel,P,5104.0,CEMADEN
25475458,,2017/10/04,-25.47005,-54.58558,FOZ DO IGUAÇU - Porto Belo,P,5518.0,CEMADEN
25575457,,2017/10/05,-25.57402,-54.57014,FOZ DO IGUAÇU - Vila Boa Esperança,P,5560.0,CEMADEN
